sh_id	status	all16s_row_count	all16s_rows	original_fasta_id_count	original_fasta_ids	original_fasta_ids_raw	qub_id_count	qub_ids	sequence_identifier_count	sequence_identifiers	overview_row_count	overview_rows	overview_partner_ids	notes
SH_0634	MISSING_QUB_ID	1	917	1	IPO341_58123417_G8	>IPO341_58123417_G8	0		0		0			Check source workbook coverage for this SH_ID.
SH_0635	MISSING_QUB_ID	1	929	1	IPO341_58123417_H8	>IPO341_58123417_H8	0		0		0			Check source workbook coverage for this SH_ID.
SH_0636	MISSING_QUB_ID	1	846	1	IPO341_58123417_A9	>IPO341_58123417_A9	0		0		0			Check source workbook coverage for this SH_ID.
SH_0637	MISSING_QUB_ID	1	858	1	IPO341_58123417_B9	>IPO341_58123417_B9	0		0		0			Check source workbook coverage for this SH_ID.
SH_0656	MISSING_QUB_ID	1	932	1	IPO341_58123417_H11	>IPO341_58123417_H11	0		0		0			Check source workbook coverage for this SH_ID.
SH_0739	MISSING_QUB_ID	2	652; 830	2	IPO339_58123394_A7; IPO340_58123400_H5	>IPO339_58123394_A7; >IPO340_58123400_H5	0		0		0			Check source workbook coverage for this SH_ID.
SH_0744	MISSING_QUB_ID	2	735; 795	2	IPO339_58123394_H6; IPO340_58123400_E6	>IPO339_58123394_H6; >IPO340_58123400_E6	0		0		0			Check source workbook coverage for this SH_ID.
SH_0861	MISSING_QUB_ID	1	662	1	IPO339_58123394_B5	>IPO339_58123394_B5	0		0		0			Check source workbook coverage for this SH_ID.
SH_0864	MISSING_QUB_ID	1	686	1	IPO339_58123394_D5	>IPO339_58123394_D5	0		0		0			Check source workbook coverage for this SH_ID.
SH_0882	MISSING_QUB_ID	1	725	1	IPO339_58123394_G8	>IPO339_58123394_G8	0		0		0			Check source workbook coverage for this SH_ID.
