"Homozygous - Lethal","337"
"Homozygous - Subviable","162"
"Homozygous - Viable","953"

"Gene","Colony","Category"
"Hspb1","JR22782","Homozygous - Viable"
"Casc3","BL3762","Homozygous - Lethal"
"Ppt2","H-PPT2-G02-TM1B","Homozygous - Viable"
"Slc40a1","H-Slc40a1-A07-TM1B","Homozygous - Lethal"
"Ydjc","MEYD","Homozygous - Viable"
"Dppa1","MELY","Homozygous - Viable"
"Asf1a","JR22101","Homozygous - Lethal"
"Cenpe","Monterotondo-HEPD0553_1_A09-1-1","Homozygous - Lethal"
"Eya4","TCPA0076Cre","Homozygous - Lethal"
"Mfap4","TCPA0704Cre","Homozygous - Viable"
"Pax4","IP00005195a","Homozygous - Lethal"
"Htr1f","JR24269","Homozygous - Viable"
"Rnf144b","E203JM8N4-28","Homozygous - Viable"
"Coq6","IP00005524a","Homozygous - Lethal"
"Macrod2","JR18570","Homozygous - Viable"
"Ghr","JR21486","Homozygous - Viable"
"Slc15a3","H-SLC15A3-A03-TM1B","Homozygous - Viable"
"Pbx3","H-PBX3-C12-TM1B","Homozygous - Lethal"
"Dnajc28","JR18636","Homozygous - Viable"
"Sema3f","H-SEMA3F-A04-TM1B","Homozygous - Subviable"
"Tst","ET8409","Homozygous - Viable"
"Gpr17","TCPM0551Cre","Homozygous - Viable"
"Gpr182","ET8210","Homozygous - Viable"
"Kcnj9","H-Kcnj9-F04-TM1B","Homozygous - Viable"
"Cers5","JR22819","Homozygous - Viable"
"Rsad1","MFPV","Homozygous - Viable"
"Slc1a4","MENZ","Homozygous - Viable"
"Pkd2l2","H-PKD2L2-A07-TM1B","Homozygous - Viable"
"Emc10","H-Emc10-E10-TM1B","Homozygous - Viable"
"Tmc3","MUBQ","Homozygous - Viable"
"Stard8","MEGB","Homozygous - Viable"
"Nbr1","H-NBR1-C09-TM1B","Homozygous - Viable"
"Hirip3","BL3281","Homozygous - Viable"
"Smurf2","H-SMURF2-H08-TM1B","Homozygous - Subviable"
"Wsb2","Monterotondo-HEPD0508_2_A11-2-1","Homozygous - Viable"
"Ajap1","JR23421","Homozygous - Viable"
"Rtn1","H-RTN1-G10-TM1B","Homozygous - Viable"
"Lgmn","TCPA0680Cre","Homozygous - Viable"
"Loxl1","JR18563","Homozygous - Viable"
"Arhgap22","MFBW","Homozygous - Viable"
"Dcdc2c","MERM","Homozygous - Viable"
"Pate2","BL3763","Homozygous - Viable"
"Zhx3","BL2453","Homozygous - Subviable"
"Krt2","ET8220","Homozygous - Subviable"
"Gpr158","ET7865","Homozygous - Viable"
"Unc119","BL3658","Homozygous - Viable"
"Wnt6","TCPA0718Cre","Homozygous - Lethal"
"Ctla2b","TCPA0777Cre","Homozygous - Lethal"
"Rilp","BL2302","Homozygous - Viable"
"Endog","BL3517","Homozygous - Viable"
"Pdcd2","MUCT","Homozygous - Lethal"
"Strn3","JR18693","Homozygous - Lethal"
"Ap4e1","JR21510","Homozygous - Viable"
"Slc1a3","JR18557","Homozygous - Subviable"
"Vti1a","BL3599","Homozygous - Viable"
"Ift22","BL3682","Homozygous - Viable"
"Snx27","ET4513","Homozygous - Subviable"
"Cyp2e1","H-Cyp2e1-F11-TM1B","Homozygous - Viable"
"Atr","JR21925","Homozygous - Lethal"
"Cenpo","JR18836","Homozygous - Lethal"
"Mrps5","MUBK","Homozygous - Subviable"
"Tmem108","IP00005450a","Homozygous - Viable"
"Ccdc160","MEDS","Homozygous - Viable"
"Ubash3a","MDZN","Homozygous - Viable"
"Ahrr","JR18561","Homozygous - Viable"
"Tep1","TCPA0677Cre","Homozygous - Viable"
"Clcf1","BL3310","Homozygous - Lethal"
"Far2","JR22011","Homozygous - Viable"
"Jam3","JR22093","Homozygous - Subviable"
"Sirt4","H-SIRT4-E08-TM1B","Homozygous - Viable"
"Slfn4","H-SLFN4-G08-TM1B","Homozygous - Viable"
"Col18a1","JR18604","Homozygous - Viable"
"Wars2","JR21936","Homozygous - Lethal"
"Psph","BL3199-1","Homozygous - Lethal"
"Zgpat","TCPM0650Cre","Homozygous - Viable"
"Zfp346","JR24091","Homozygous - Subviable"
"Apool","MECV","Homozygous - Viable"
"Dynlrb1","MDUV","Homozygous - Lethal"
"Gatm","HMGU-EPD0218_5_E08-1-1","Homozygous - Viable"
"Pink1","H-PINK1-G02-TM1B","Homozygous - Viable"
"Prkab1","H-PRKAB1-C09-TM1B","Homozygous - Viable"
"Rlbp1","H-RLBP1-C10-TM1B","Homozygous - Viable"
"Cldn19","JR23666","Homozygous - Viable"
"Mybbp1a","HMGU-HEPD0602_4_G02-1-1","Homozygous - Lethal"
"Sra1","TCPA0084Cre","Homozygous - Viable"
"Nfatc3","HMGU-HEPD0725_7_C12-1-2","Homozygous - Lethal"
"Ikzf3","RIKEN-Ikzf3-CB3_","Homozygous - Viable"
"Arpc3","MDLY","Homozygous - Lethal"
"Lyplal1","MFPU","Homozygous - Viable"
"Resp18","JR18572","Homozygous - Viable"
"Gpr152","MUBW","Homozygous - Viable"
"Skida1","BL2596-1","Homozygous - Subviable"
"Rhbdl1","BL2779","Homozygous - Subviable"
"Chrna1","IP00005076a","Homozygous - Lethal"
"Setbp1","IP00005159a","Homozygous - Subviable"
"P2rx6","H-P2RX6-A09-TM1B","Homozygous - Viable"
"Cab39l","H-CAB39L-B12-TM1B","Homozygous - Viable"
"Cog3","HMGU-HEPD0786_6_G01-1-1","Homozygous - Lethal"
"Abca14","TCPA0775Cre","Homozygous - Viable"
"3300002A11Rik","MFBX","Homozygous - Viable"
"Klhl21","MEZW","Homozygous - Subviable"
"Myh14","MDSK","Homozygous - Viable"
"Cyb5d1","JR22096","Homozygous - Subviable"
"4921509C19Rik","JR24333","Homozygous - Viable"
"Arpc1b","MDWK","Homozygous - Viable"
"Klf14","BL1129","Homozygous - Viable"
"Capn8","BL4161","Homozygous - Viable"
"Mapk10","MDMP","Homozygous - Viable"
"Ccdc88c","BL3877","Homozygous - Viable"
"Fbxl7","MDRA","Homozygous - Viable"
"Rhox13","MEEK","Homozygous - Viable"
"Ube2e2","BL1487","Homozygous - Viable"
"Zfp719","MENA","Homozygous - Viable"
"Trim29","MUAD","Homozygous - Viable"
"Cdk8","IP00005208a","Homozygous - Lethal"
"Ahcyl1","MECH","Homozygous - Viable"
"Anks1b","MELK","Homozygous - Viable"
"Parp11","BL1437","Homozygous - Viable"
"Epn3","BL2342","Homozygous - Viable"
"Msantd1","ET8352","Homozygous - Viable"
"Afmid","H-Afmid-A07-TM1B","Homozygous - Viable"
"Fcgbp","H-Fcgbp-E12-TM1B","Homozygous - Viable"
"Bloc1s2","JR22818","Homozygous - Lethal"
"Hsp90aa1","MCPD","Homozygous - Viable"
"Xpnpep1","MFHU","Homozygous - Subviable"
"Sycp3","JR22784","Homozygous - Viable"
"Fastk","BL1653","Homozygous - Viable"
"Ripk3","BL3926","Homozygous - Viable"
"Htra2","BL3753","Homozygous - Viable"
"Fgfbp3","BL2227","Homozygous - Viable"
"Crtc3","BL3352","Homozygous - Subviable"
"Atp6v1b2","TCPA0014Cre","Homozygous - Lethal"
"Kcnv2","MDYN","Homozygous - Viable"
"Twist2","BL3655","Homozygous - Subviable"
"Selenbp1","BL2597","Homozygous - Viable"
"Msx1","JR18808","Homozygous - Lethal"
"Rab3ip","JR23394","Homozygous - Viable"
"Myt1l","MFFA","Homozygous - Viable"
"Mdk","JR23024","Homozygous - Subviable"
"Fam49b","TCPM0616Cre","Homozygous - Subviable"
"Zfp791","MFHR","Homozygous - Viable"
"Tmbim7","BL3476","Homozygous - Subviable"
"Hipk2","H-Hipk2-F08-TM1B","Homozygous - Subviable"
"Exoc8","BL2345","Homozygous - Lethal"
"Pef1","HMGU-HEPD0074_4_C05-1-1","Homozygous - Viable"
"Efna5","HMGU-EPD0445_2_D06-1-1","Homozygous - Viable"
"C1qtnf2","H-C1QTNF2-A12-TM1B","Homozygous - Viable"
"Zdhhc11","JR18620","Homozygous - Viable"
"Polr3f","MFVN","Homozygous - Lethal"
"Syne3","BL3161","Homozygous - Viable"
"Zbed4","BL3236","Homozygous - Subviable"
"Ryr2","H-RYR2-C09-TM1B","Homozygous - Lethal"
"Rab24","JR22389","Homozygous - Viable"
"Lrrk1","H-LRRK1-C01-TM1B","Homozygous - Viable"
"Pigh","JR18614","Homozygous - Lethal"
"Plac9a","H-PLAC9A-A09-TM1B","Homozygous - Viable"
"Lmbrd1","TCPA0157Cre","Homozygous - Lethal"
"Rptor","H-RPTOR-H12-TM1B","Homozygous - Lethal"
"Timm50","IP00004892a","Homozygous - Lethal"
"Skida1","MDHR","Homozygous - Subviable"
"F2rl1","IP00005358a","Homozygous - Viable"
"Ptprv","TCPA0569Cre","Homozygous - Viable"
"Tcf19","TCPA0618Cre","Homozygous - Viable"
"Prkab1","HMGU-EPD0033_3_C09-1","Homozygous - Subviable"
"Cdk15","JR23307","Homozygous - Viable"
"Slc25a4","MDKZ","Homozygous - Viable"
"Zfp182","MUAP","Homozygous - Viable"
"5330417C22Rik","IP00005273a","Homozygous - Subviable"
"Sptssa","JR18820","Homozygous - Lethal"
"Rnf20","TCPA0030Cre","Homozygous - Lethal"
"Ppm1a","H-PPM1A-G04-TM1B","Homozygous - Viable"
"Creld2","H-Creld2-F05-TM1B","Homozygous - Viable"
"Bpifb3","H-Bpifb3-G05-TM1B","Homozygous - Viable"
"Ccdc77","MDKE","Homozygous - Viable"
"Agap1","MDVW","Homozygous - Subviable"
"Dynll1","MCSZ","Homozygous - Lethal"
"Rab5c","MDXG","Homozygous - Lethal"
"Cap2","GSF-EPD0155_4_D08-1-1","Homozygous - Subviable"
"Nes","JR24185","Homozygous - Viable"
"Leprot","MENP","Homozygous - Viable"
"Rrad","JR23419","Homozygous - Viable"
"Nagk","H-Nagk-D04-TM1B","Homozygous - Viable"
"Bmx","IP00005336a","Homozygous - Viable"
"Wnt2b","TCPM0202Cre","Homozygous - Viable"
"Panx3","BL3207","Homozygous - Viable"
"Sgpl1","BL3615","Homozygous - Lethal"
"Ptma","ET5625","Homozygous - Lethal"
"H1fx","JR18594","Homozygous - Viable"
"Ang","BL3842","Homozygous - Viable"
"Vps25","TCPA0147Cre","Homozygous - Lethal"
"Il1r2","BL3463","Homozygous - Viable"
"Evl","H-Evl-A03-TM1B","Homozygous - Viable"
"Xbp1","H-Xbp1-E10-TM1B","Homozygous - Lethal"
"Tnik","MDGH","Homozygous - Viable"
"Ankrd9","MEVW","Homozygous - Viable"
"Taar2","BL2358","Homozygous - Viable"
"Syt17","BL2790","Homozygous - Viable"
"Dnaja4","JR22776","Homozygous - Viable"
"Ocstamp","JR18707","Homozygous - Viable"
"D1Pas1","RIKEN-D1Pas1-D4_20120503","Homozygous - Viable"
"Trpc6","RIKEN-N01992P1_C_198W_F10","Homozygous - Viable"
"Mipol1","HMGU-HEPD0688_2_F03-2-1","Homozygous - Viable"
"Dspp","BL3605","Homozygous - Viable"
"Selk","MUAE","Homozygous - Viable"
"Armc7","MUCC","Homozygous - Subviable"
"Fbxo9","TCPM0222Cre","Homozygous - Viable"
"Ifi44","TCPM0200Cre","Homozygous - Viable"
"Nutf2","BL2173-1","Homozygous - Lethal"
"Gpc2","UCD-13172A-C7-1-1","Homozygous - Subviable"
"Pcsk5","JR22341","Homozygous - Lethal"
"Ces4a","JR24189","Homozygous - Viable"
"Klhl29","IP00005147a","Homozygous - Subviable"
"Syt1","MDNJ","Homozygous - Subviable"
"Usp3","MDGD","Homozygous - Subviable"
"Lor","BL4188","Homozygous - Subviable"
"Hspa5","JR19073","Homozygous - Lethal"
"Notch4","TCPA0599Cre","Homozygous - Viable"
"Stard10","H-Stard10-C05-TM1B","Homozygous - Viable"
"Map2k7","MDXN","Homozygous - Lethal"
"Ushbp1","MFGU","Homozygous - Viable"
"Arhgef10","JR22304","Homozygous - Viable"
"Coa5","TCPA0041Cre","Homozygous - Lethal"
"Hace1","H-HACE1-D02-TM1B","Homozygous - Subviable"
"Uqcrb","HMGU-EPD0788_2_H05-1-1","Homozygous - Lethal"
"Fam151b","H-Fam151b-C08-TM1B","Homozygous - Viable"
"Aldh3b1","MUBT","Homozygous - Subviable"
"Acsf2","JR24902","Homozygous - Viable"
"Dnaja1","JR18585","Homozygous - Subviable"
"C8b","H-C8B-E06-TM1B","Homozygous - Viable"
"Tdrkh","JR24039","Homozygous - Viable"
"Vps13d","TCPA0183Cre","Homozygous - Lethal"
"Dars2","MDWP","Homozygous - Lethal"
"Cyb5r2","H-CYB5R2-C08-TM1B","Homozygous - Viable"
"Klf7","H-Klf7-F09-TM1B","Homozygous - Lethal"
"Pram1","H-PRAM1-F12-TM1B","Homozygous - Viable"
"Bok","TCPM0639Cre","Homozygous - Viable"
"Boc","H-BOC-E05-TM1B","Homozygous - Viable"
"Idh2","H-IDH2-G10-TM1B","Homozygous - Viable"
"Lrp1","JR22778","Homozygous - Lethal"
"Rab15","MEAW","Homozygous - Viable"
"Bpifb5","MFGS","Homozygous - Viable"
"Krit1","BL4124","Homozygous - Lethal"
"Kiss1r","BL3929","Homozygous - Viable"
"Mgl2","BL2813","Homozygous - Viable"
"Rgcc","ET8351","Homozygous - Viable"
"Fam210b","BL1690","Homozygous - Viable"
"Dtnbp1","TCPA0069Cre","Homozygous - Viable"
"Mapkapk2","H-Mapkapk2-A02-TM1B","Homozygous - Viable"
"Trip13","JR18553","Homozygous - Viable"
"Pipox","TCPA0564Cre","Homozygous - Viable"
"Ivd","HMGU-HEPD0535_3_F08-1-1","Homozygous - Lethal"
"Atp2a2","Atp2a2","Homozygous - Lethal"
"Cyba","MFAC","Homozygous - Viable"
"Cgn","JR24092","Homozygous - Lethal"
"Crym","JR22015","Homozygous - Viable"
"","UCD-EPD0317_1_C03-1-1","Homozygous - Lethal"
"Slc39a8","H-Slc39a8-D04-TM1B","Homozygous - Lethal"
"Bbs7","JR24979","Homozygous - Lethal"
"Dnajc7","JR22416","Homozygous - Viable"
"Zbtb4","JR23660","Homozygous - Viable"
"Ezr","MDYB","Homozygous - Lethal"
"Tmem189","MBCZ","Homozygous - Viable"
"Slc17a3","H-SLC17A3-F08-TM1B","Homozygous - Viable"
"Nefh","JR18577","Homozygous - Viable"
"Fam96a","MDLT","Homozygous - Viable"
"Adig","BL1918","Homozygous - Viable"
"Man2b2","TCPA0036Cre","Homozygous - Viable"
"Agl","H-Agl-E12-TM1B-2","Homozygous - Subviable"
"Gkn2","BL1301","Homozygous - Viable"
"Adap1","MFPC","Homozygous - Viable"
"Pacsin3","MDUQ","Homozygous - Viable"
"Ush1c","MCSB","Homozygous - Viable"
"Rnf10","JR21511","Homozygous - Subviable"
"Naaa","MEQW","Homozygous - Viable"
"Zranb1","IP00005458a","Homozygous - Subviable"
"Ube2o","JR22419","Homozygous - Subviable"
"Ccdc122","MEWY","Homozygous - Viable"
"Ascc2","Ascc2 EPD0792_5_A06-2","Homozygous - Lethal"
"Nos1ap","Nos1ap EPD0804_4_E01-1","Homozygous - Viable"
"Tbx10","TBXAB","Homozygous - Viable"
"Gm608","Gm608 EPD0431_5_F01","Homozygous - Subviable"
"Fbxl16","Fbxl16 <EPD0380_3_F03>-1","Homozygous - Subviable"
"Bbox1","BDOXB","Homozygous - Subviable"
"Ctdspl2","Ctdspl2 EPD0694_3_B05 HOM","Homozygous - Subviable"
"Alg10b","Alg10b 10825A-D5","Homozygous - Lethal"
"Ogfod3","MENY","Homozygous - Viable"
"Thada","Thada EPD0693_2_C09 HOM","Homozygous - Viable"
"Ckap4","CKADB","Homozygous - Subviable"
"Abca1","ABCCB","Homozygous - Lethal"
"Hspb3","JR18618","Homozygous - Viable"
"Abcb6","MEUK","Homozygous - Viable"
"Glg1","MDJF","Homozygous - Subviable"
"Ndufs1","HMGU-HEPD0685_5_C11-1-1","Homozygous - Lethal"
"Sptssb","JR23424","Homozygous - Viable"
"Ube2b","H-Ube2b-D01-TM1B","Homozygous - Subviable"
"Ralgps2","MDYP","Homozygous - Viable"
"Usp12","GSF-HEPD0538_7_A07-1-2","Homozygous - Viable"
"Ap4e1","H-AP4E1-A08-TM1B","Homozygous - Viable"
"F10","H-F10-G07-TM1B","Homozygous - Lethal"
"Pias2","MEVX","Homozygous - Viable"
"Arhgef7","MEBY","Homozygous - Lethal"
"Gimap6","MFYM","Homozygous - Viable"
"Slc38a10","MDEV","Homozygous - Viable"
"Sec22b","MDZV","Homozygous - Lethal"
"Acsl4","MBGS","Homozygous - Subviable"
"Fggy","MDRB","Homozygous - Viable"
"Atp6v1d","IP00004932a","Homozygous - Lethal"
"Synpo2","IP00005112a","Homozygous - Lethal"
"Sgms1","MEBK","Homozygous - Viable"
"Wfdc18","MDKQ","Homozygous - Viable"
"Fgf7","H-FGF7-F12-TM1B","Homozygous - Viable"
"Fam134c","H-Fam134c-B03-TM1B","Homozygous - Viable"
"4933430I17Rik","E112JM8N4-2","Homozygous - Viable"
"Dnajc9","JR22340","Homozygous - Lethal"
"Atg3","H-ATG3-G06-TM1B","Homozygous - Lethal"
"Scnn1b","H-SCNN1B-D10-TM1B","Homozygous - Lethal"
"Abcb9","TCPM0210Cre","Homozygous - Viable"
"Prkab1","RIKEN_EPD0033_3_C09","Homozygous - Viable"
"Fgf10","H-Fgf10-A02-TM1B","Homozygous - Lethal"
"2700097O09Rik","ET8306","Homozygous - Viable"
"Ssbp1","MEPZ","Homozygous - Lethal"
"Atn1","H-ATN1-F08-TM1B","Homozygous - Viable"
"Mtss1l","MFDT","Homozygous - Viable"
"Syndig1l","BL1472","Homozygous - Viable"
"Praf2","MEFJ","Homozygous - Viable"
"Osbpl3","MGCS","Homozygous - Viable"
"Ido2","MECR","Homozygous - Viable"
"Oas1g","MDGP","Homozygous - Viable"
"Tomm20l","MEJY","Homozygous - Viable"
"Cyp4b1","HMGU-EPD0078_3_C03-1-1","Homozygous - Viable"
"Paqr6","Paqr6 <EPD0490_5_C10>-1","Homozygous - Viable"
"Foxj3","Foxj3 EPD0536_5_B08-2","Homozygous - Viable"
"Fgfr4","Fgfr4 EPD0354_5_C09","Homozygous - Viable"
"Adamts13","Adamts13 EPD0423_2_B08 HOM","Homozygous - Viable"
"Cdipt","Cdipt 2i EPD0459_3_A04 HOM","Homozygous - Lethal"
"Fam13b","FAMMB","Homozygous - Subviable"
"Col14a1","COLEB","Homozygous - Viable"
"Ntn4","NTNCB","Homozygous - Viable"
"Mapkap1","Mapkap1 EPD0609_2_F05-B","Homozygous - Lethal"
"Wdr59","WDRBB","Homozygous - Lethal"
"2210010C04Rik","2210010C04Rik <EPD0709_4_E11>-1","Homozygous - Viable"
"Hyal4","HYALB","Homozygous - Viable"
"Nr1d1","Nr1d1 11705A-E7","Homozygous - Subviable"
"Pyroxd1","PYROB","Homozygous - Lethal"
"Ascc2","Ascc2 EPD0792_5_A06","Homozygous - Lethal"
"Fbxw9","Fbxw9 EPD0485_1_H05","Homozygous - Viable"
"Smdt1","SMDBB","Homozygous - Lethal"
"Snrnp27","SNRBB","Homozygous - Lethal"
"Dhx40","METDB","Homozygous - Viable"
"Tfeb","Tfeb EPD0454_1_A04","Homozygous - Lethal"
"Ptgr1","Ptgr1 <EPD0045_3_G02>-1","Homozygous - Viable"
"Nr6a1","NRADB","Homozygous - Lethal"
"Anapc4","ANADB","Homozygous - Lethal"
"Tead1","Tead1 EPD0207_2_C09-1","Homozygous - Lethal"
"Vps4a","VPSSB","Homozygous - Lethal"
"Vps37d","Vps37d EPD0554_9_D02-1","Homozygous - Lethal"
"Prdm14","BCM-1-E12-1-1","Homozygous - Viable"
"Pde12","Pde12 EPD0528_5_D09 HOM","Homozygous - Lethal"
"Memo1","Memo1 EPD0785_3_A06 HOM","Homozygous - Lethal"
"Scarb1","SCALB","Homozygous - Viable"
"Memo1","Memo1 EPD0785_3_A06","Homozygous - Lethal"
"Dnase1l2","DNASB","Homozygous - Subviable"
"Fbxw9","Fbxw9 EPD0485_1_H05-2","Homozygous - Subviable"
"1110001J03Rik","1110001J03Rik EPD0647_2_B09","Homozygous - Subviable"
"Ftsj1","Ftsj1 EPD0155_5_B01-1","Homozygous - Viable"
"Mapkap1","Mapkap1 EPD0609_2_F05-1","Homozygous - Lethal"
"Dnajc15","DNADB","Homozygous - Viable"
"Dlg4","MEEV","Homozygous - Viable"
"Aard","ET8309","Homozygous - Viable"
"Rasgrp4","MEQZ","Homozygous - Viable"
"Plekhm1","TCPA0121Cre","Homozygous - Viable"
"Rapsn","H-RAPSN-E06-TM1B","Homozygous - Lethal"
"Sel1l","MDYY","Homozygous - Lethal"
"Tbx4","BL3511","Homozygous - Lethal"
"S100a14","TCPA0562Cre","Homozygous - Subviable"
"Chd2","TCPM0638Cre","Homozygous - Viable"
"Nae1","IP00005028a","Homozygous - Lethal"
"Tgif2","IP00005359a","Homozygous - Lethal"
"Tceal5","MEGQ","Homozygous - Viable"
"1700011A15Rik","MFUU","Homozygous - Viable"
"Dnmt3a","JR18838","Homozygous - Subviable"
"Plscr1","IP00004675a","Homozygous - Viable"
"Ino80","E105JM8N4-70","Homozygous - Subviable"
"Gja8","H-Gj8a-G06-TM1B","Homozygous - Viable"
"Sfxn3","MUBE","Homozygous - Viable"
"Col4a3","H-COL4A3-B07-TM1B","Homozygous - Viable"
"Slc16a6","MECE","Homozygous - Viable"
"Fgf22","H-Fgf22-F04-TM1B","Homozygous - Viable"
"Ropn1l","MUBF","Homozygous - Viable"
"Dixdc1","JR18584","Homozygous - Viable"
"Tead1","Tead1 EPD0207_2_C09 HOM","Homozygous - Lethal"
"Arhgap33","ARHHB","Homozygous - Subviable"
"Acat2","Acat2 EPD0797_6_H04-1","Homozygous - Lethal"
"Ccdc94","CCDDB","Homozygous - Lethal"
"1700007G11Rik","1700007G11Rik <EPD0546_8_E04>-1","Homozygous - Viable"
"Cacna1i","Cacna1i EPD0807_2_A02 HOM","Homozygous - Viable"
"Nr1d1","Nr1d1 11705A-E7-1","Homozygous - Viable"
"Tmem132a","Tmem132a EPD0111_5_B06","Homozygous - Lethal"
"1700023E05Rik","1700023E05Rik EPD0762_5_G04","Homozygous - Viable"
"1700006E09Rik","RICMB","Homozygous - Viable"
"Cts6","CTSSB","Homozygous - Viable"
"Adsl","ADSBB","Homozygous - Lethal"
"Tspyl2","Tspyl2 EPD0706_5_B03","Homozygous - Viable"
"Mogs","BCM-10584B-F8-2-1","Homozygous - Lethal"
"Fbxo31","Fbxo31 <EPD0631_4_E11>-1","Homozygous - Viable"
"1700125H20Rik","1700125H20Rik <EPD0473_3_E11>-1","Homozygous - Viable"
"Prdm14","PRDM14 E12","Homozygous - Viable"
"Celf6","Celf6 EPD0681_3_B10","Homozygous - Viable"
"Ublcp1","Ublcp1 EPD0652_6_B08","Homozygous - Subviable"

