"Homozygous - Lethal","337"
"Homozygous - Subviable","162"
"Homozygous - Viable","953"

"Gene","Colony","Category"
"Mapk11","H-MAPK11-C08-TM1B","Homozygous - Viable"
"Dnase1l2","H-DNASE1L2-A10-TM1-1","Homozygous - Viable"
"Gad2","GSF-EPD0363_5_D12-1-1","Homozygous - Viable"
"Cacna1b","H-CACNA1B-A07-TM1B","Homozygous - Viable"
"Ralgapb","MEAV","Homozygous - Lethal"
"Ogdh","MFEE","Homozygous - Lethal"
"Nxn","IP00005258a","Homozygous - Lethal"
"Yipf5","IP00005029a","Homozygous - Lethal"
"Lyplal1","H-LYPLAL1-A06-TM1B","Homozygous - Viable"
"Synm","BL1765","Homozygous - Viable"
"Dnase1l2","ET6691","Homozygous - Viable"
"Wbp5","MEGM","Homozygous - Viable"
"Rpgrip1l","MDLW","Homozygous - Lethal"
"Tango6","H-TANGO6-D06-TM1B","Homozygous - Lethal"
"Mtch2","H-Mtch2-C06-TM1B","Homozygous - Lethal"
"Car7","JR23283","Homozygous - Viable"
"Slc7a11","IP00005337a","Homozygous - Viable"
"Mmp9","IP00005555a","Homozygous - Viable"
"","UCD-EPD0177_1_E09-1-1","Homozygous - Lethal"
"Osm","JR22338","Homozygous - Viable"
"Aldh16a1","MBWA","Homozygous - Viable"
"Wdr37","MCZD","Homozygous - Viable"
"Pdxk","MEDH","Homozygous - Lethal"
"Mpo","H-MPO-C03-TM1B","Homozygous - Viable"
"Marveld2","H-MARVELD2-G11-TM1B","Homozygous - Viable"
"Ovol1","JR23663","Homozygous - Subviable"
"Secisbp2","MRRT","Homozygous - Viable"
"Pabpc4","MEBQ","Homozygous - Viable"
"Prdm10","IP00004970a","Homozygous - Lethal"
"Mid1ip1","BL2378","Homozygous - Viable"
"Sh3bp2","TCPA0712Cre","Homozygous - Viable"
"Rnf216","TCPM0581Cre","Homozygous - Viable"
"Mtnr1b","BL1997","Homozygous - Viable"
"N4bp3","BL2410","Homozygous - Viable"
"Myo10","MFQX","Homozygous - Viable"
"Dsg1b","MERP","Homozygous - Viable"
"D630023F18Rik","MUDD","Homozygous - Subviable"
"Rora","HMGU-EPD0157_5_B01-1-1","Homozygous - Subviable"
"Elmod1","H-ELMOD1-E10-TM1B","Homozygous - Viable"
"Fbln7","BL3700","Homozygous - Viable"
"Fpr1","BL3425","Homozygous - Viable"
"Cacna1s","JR22783","Homozygous - Lethal"
"Alox12e","MUCA","Homozygous - Viable"
"Ccdc24","MFCA","Homozygous - Viable"
"3110043O21Rik","BL3210","Homozygous - Viable"
"4933427D14Rik","JR24041","Homozygous - Lethal"
"Rassf8","BL4157","Homozygous - Subviable"
"Cnr1","BL3395","Homozygous - Subviable"
"Stard8","MUAL","Homozygous - Viable"
"N6amt2","MFTF","Homozygous - Viable"
"Uri1","MFEW","Homozygous - Viable"
"Ghsr","JR18595","Homozygous - Viable"
"Furin","H-Furin-A12-TM1B","Homozygous - Lethal"
"C1qb","JR22013","Homozygous - Viable"
"Il6st","JR22388","Homozygous - Viable"
"Arrb1","JR22420","Homozygous - Viable"
"Cox7a1","TCPM0707Cre","Homozygous - Viable"
"Ick","BL3023","Homozygous - Viable"
"Rbp4","BL2455","Homozygous - Viable"
"Dmap1","JR18565","Homozygous - Lethal"
"Cbx5","MCTN","Homozygous - Subviable"
"Rhbdl3","H-Rhbdl3-C11-TM1B","Homozygous - Subviable"
"Chtop","MFUD","Homozygous - Lethal"
"1700123O20Rik","MGBX","Homozygous - Viable"
"Tcf7l2","MEYN","Homozygous - Lethal"
"Os9","MEFC","Homozygous - Viable"
"Ppp1r9b","JR18609","Homozygous - Viable"
"Syn3","JR23665","Homozygous - Viable"
"Clk1","MDFE","Homozygous - Viable"
"Slc9a3","TCPA0699Cre","Homozygous - Viable"
"Cybb","H-CYBB-C11-TM1B","Homozygous - Viable"
"Prkab2","H-PRKAB2-C09-TM1B","Homozygous - Subviable"
"Inpp1","MNPP","Homozygous - Viable"
"Apol7a","MDWB","Homozygous - Viable"
"Ethe1","ETHE1","Homozygous - Subviable"
"Dnajc21","TCPA0778Cre","Homozygous - Viable"
"Faim3","BL2570Cre","Homozygous - Viable"
"A2m","TCPA0687Cre","Homozygous - Viable"
"Dpyd","TCPA0056Cre","Homozygous - Viable"
"Sag","MDDR","Homozygous - Viable"
"Mospd1","MGHQ","Homozygous - Viable"
"Pabpn1l","MDVY","Homozygous - Viable"
"Pkd1l2","H-Pkd1l2-A09-TM1B","Homozygous - Viable"
"Cib2","H-CIB2-D04-TM1B","Homozygous - Viable"
"Galc","TCPM0187Cre","Homozygous - Viable"
"Acvr1b","UCD-11377A-A5-2-1","Homozygous - Lethal"
"Kif26b","JR22085","Homozygous - Lethal"
"Dsc2","MDZL","Homozygous - Viable"
"Dusp5","MFAJ","Homozygous - Viable"
"Cox19","TCPA0108Cre","Homozygous - Lethal"
"Fyb","Monterotondo-HEPD0569_8_D07-1-1","Homozygous - Viable"
"Galp","RIKEN-Galp-E05_","Homozygous - Viable"
"Kcnk18","ET7863","Homozygous - Viable"
"Prodh","BL2396","Homozygous - Viable"
"B020004J07Rik","TCPA0048Cre","Homozygous - Viable"
"5830411N06Rik","BL3037","Homozygous - Viable"
"Gpr116","TCPA0138Cre","Homozygous - Viable"
"Epdr1","TCPA0678Cre","Homozygous - Viable"
"Ewsr1","TCPA0155Cre","Homozygous - Lethal"
"Nxn","ET6690_TCP","Homozygous - Lethal"
"Mllt3","H-Mllt3-B06-TM1B","Homozygous - Lethal"
"Cdkal1","HMGU-EPD0635_1_F06-1-1","Homozygous - Viable"
"Eef2kmt","Monterotondo-EPD0146_4_A06-1-1","Homozygous - Viable"
"Serinc3","MFXJ","Homozygous - Viable"
"Bach1","JR22087","Homozygous - Subviable"
